A	Z	M_RBF	dev
219.0	85.0	10.6141058001	0.218105800136
223.0	87.0	18.4031996691	0.0207996690758
227.0	89.0	25.919145625	0.069545625025
231.0	91.0	33.4030391551	0.0213608448537
235.0	93.0	40.9821221295	0.0609778704703
239.0	95.0	49.298242712	0.0921572880047
243.0	97.0	58.0989901108	0.591009889238
247.0	99.0	67.9090900179	0.668909982095
251.0	101.0	78.0398715016	0.927128498369
255.0	103.0	88.9595370311	0.987462968936
259.0	105.0	100.121748141	1.86825185854
261.0	104.0	102.278568546	0.95856854582
216.0	84.0	2.13873159483	0.356331594831
220.0	86.0	10.5263935923	0.085706407682
224.0	88.0	18.807729205	0.0181707949833
228.0	90.0	26.525275053	0.245724947037
232.0	92.0	34.2267500139	0.382749986062
236.0	94.0	42.4638126699	0.437187330069
240.0	96.0	51.372822619	0.35117738099
244.0	98.0	61.4898282852	0.011628285231
248.0	100.0	71.9865812953	0.0885812952743
252.0	102.0	83.170734729	0.299734728999
256.0	104.0	94.7738083929	0.551808392877
260.0	106.0	105.345096033	1.20290396729
264.0	108.0	115.745668995	3.81733100457
261.0	106.0	111.546645743	3.54164574258
265.0	108.0	123.603752732	2.70375273186
269.0	110.0	134.990455238	0.160455238054
247.0	96.0	65.743803516	0.21080351595
251.0	98.0	73.8217579271	0.313242072925
255.0	100.0	83.0024298082	0.797570191753
259.0	102.0	92.8701755253	1.20882447469
218.0	84.0	8.1820653872	0.177534612805
222.0	86.0	16.195093066	0.176906933997
226.0	88.0	23.7063917799	0.038391779903
230.0	90.0	31.1846726212	0.321672621161
234.0	92.0	38.7443928821	0.599392882107
238.0	94.0	46.6904268467	0.527426846736
242.0	96.0	55.6063068194	0.802306819443
246.0	98.0	65.0194438287	0.929443828723
250.0	100.0	75.1594455264	1.08744552645
254.0	102.0	85.9249652882	1.20196528825
258.0	104.0	97.6260537945	1.28605379449
254.0	99.0	82.5440881382	0.553088138211
258.0	101.0	92.203520886	0.516520886049
253.0	98.0	79.3370722346	0.0350722345881
257.0	100.0	88.523243421	0.42675657897
243.0	95.0	56.9876476792	0.187352320774
247.0	97.0	65.2501304393	0.239869560669
251.0	99.0	74.3561407118	0.155859288206
255.0	101.0	84.2672608928	0.575739107242
