A	Z	Mexp	Mth
219	85	10.396	10.043430770876327
223	87	18.3824	17.496787921210945
227	89	25.8496	24.92328738984281
231	91	33.4244	32.34978685847467
235	93	41.0431	39.77628632710653
239	95	49.3904	47.69001247417861
243	97	58.69	56.096143275313764
247	99	68.578	65.49363350260039
251	101	78.967	75.16735522517583
255	103	89.947	85.57605060674865
259	105	101.99	96.79174740716256
261	104	101.32	100.949
216	84	1.7824	1.37
220	86	10.6121	9.839
224	88	18.8259	17.687
228	90	26.771	25.283
232	92	34.6095	32.775
236	94	42.901	40.687
240	96	51.724	49.094
244	98	61.4782	58.468
248	100	71.898	68.463
252	102	82.871	78.978
256	104	94.222	89.799
260	106	106.548	101.637
264	108	119.563	114.241
261	106	108.005	107.353
265	108	120.9	119.85
269	110	134.83	133.006
247	96	65.533	65.18109946863187
251	98	74.135	73.02128996297972
255	100	83.8	82.2038450203939
259	102	94.079	91.89024831705657
218	84	8.3596	7.963722521524975
222	86	16.372	15.624900961257326
226	88	23.668	23.051400429889192
230	90	30.863	30.477899898521056
234	92	38.145	37.90439936715292
238	94	46.163	45.54701436058466
242	96	54.804	53.79391000094729
246	98	64.09	62.66880594401073
250	100	74.072	72.18448252795146
254	102	84.723	82.34034849028085
258	104	96.34	93.5976338352769
254	99	81.991	81.51985395246075
258	101	91.687	90.43507434756141
253	98	79.302	78.91578266464018
257	100	88.95	87.6211680175709
243	95	57.175	56.74906798564868
247	97	65.49	64.47350334297808
251	99	74.512	72.99354843860706
255	101	84.843	82.39737882211563
